type;n;swaps;cmps
insertion;90;1944;2033
insertion;90;2067;2156
insertion;100;2510;2609
insertion;100;2522;2621
insertion;100;2501;2600
insertion;100;2549;2648
insertion;100;2245;2344
insertion;100;2036;2135
insertion;100;2556;2655
insertion;100;2345;2444
insertion;100;2381;2480
insertion;100;2588;2687
insertion;100;2280;2379
insertion;100;2315;2414
insertion;100;2298;2397
insertion;100;2331;2430
insertion;100;2191;2290
insertion;100;2578;2677
insertion;100;2646;2745
insertion;100;2292;2391
insertion;100;2403;2502
insertion;100;2264;2363
insertion;100;2140;2239
insertion;100;2499;2598
insertion;100;2358;2457
insertion;100;2328;2427
insertion;100;2641;2740
insertion;100;2653;2752
insertion;100;2496;2595
insertion;100;2543;2642
insertion;100;2428;2527
insertion;100;2467;2566
insertion;100;2454;2553
insertion;100;2462;2561
insertion;100;2381;2480
insertion;100;2696;2795
insertion;100;2381;2480
insertion;100;2645;2744
insertion;100;2504;2603
insertion;100;2211;2310
insertion;100;2224;2323
insertion;100;2650;2749
insertion;100;2433;2532
insertion;100;2663;2762
insertion;100;2860;2959
insertion;100;2459;2558
insertion;100;2616;2715
insertion;100;2357;2456
insertion;100;2323;2422
insertion;100;2348;2447
insertion;100;2715;2814
insertion;100;2314;2413
insertion;100;2392;2491
insertion;100;2507;2606
insertion;100;2298;2397
insertion;100;2328;2427
insertion;100;2330;2429
insertion;100;2506;2605
insertion;100;2528;2627
insertion;100;2413;2512
insertion;100;2751;2850
insertion;100;2695;2794
insertion;100;2435;2534
insertion;100;2424;2523
insertion;100;2277;2376
insertion;100;2552;2651
insertion;100;2531;2630
insertion;100;2648;2747
insertion;100;2068;2167
insertion;100;2647;2746
insertion;100;2527;2626
insertion;100;2672;2771
insertion;100;2648;2747
insertion;100;2261;2360
insertion;100;2524;2623
insertion;100;2485;2584
insertion;100;2390;2489
insertion;100;2370;2469
insertion;100;2624;2723
insertion;100;2380;2479
insertion;100;2508;2607
insertion;100;2358;2457
insertion;100;2346;2445
insertion;100;2411;2510
insertion;100;2695;2794
insertion;100;2329;2428
insertion;100;2422;2521
insertion;100;2404;2503
insertion;100;2833;2932
insertion;100;2475;2574
insertion;100;2957;3056
insertion;100;2363;2462
insertion;100;2423;2522
insertion;100;2328;2427
insertion;100;2494;2593
insertion;100;2326;2425
insertion;100;2340;2439
insertion;100;2500;2599
insertion;100;2714;2813
insertion;100;2695;2794
insertion;100;2659;2758
insertion;100;2292;2391
insertion;110;3410;3519
insertion;110;3061;3170
insertion;110;3002;3111
insertion;110;3329;3438
insertion;110;3150;3259
insertion;110;3133;3242
insertion;110;2940;3049
insertion;110;2759;2868
insertion;110;2763;2872
insertion;110;2932;3041
insertion;110;3013;3122
insertion;110;3142;3251
insertion;110;2867;2976
insertion;110;2855;2964
insertion;110;2720;2829
insertion;110;2720;2829
insertion;110;2928;3037
insertion;110;2978;3087
insertion;110;2995;3104
insertion;110;3208;3317
insertion;110;2579;2688
insertion;110;2859;2968
insertion;110;2620;2729
insertion;110;2916;3025
insertion;110;3057;3166
insertion;110;3151;3260
insertion;110;3158;3267
insertion;110;2891;3000
insertion;110;2595;2704
insertion;110;3366;3475
insertion;110;2738;2847
insertion;110;3031;3140
insertion;110;3058;3167
insertion;110;3017;3126
insertion;110;2919;3028
insertion;110;2857;2966
insertion;110;3157;3266
insertion;110;2805;2914
insertion;110;2680;2789
insertion;110;2854;2963
insertion;110;2554;2663
insertion;110;2976;3085
insertion;110;2755;2864
insertion;110;3152;3261
insertion;110;2905;3014
insertion;110;2753;2862
insertion;110;2763;2872
insertion;110;3261;3370
insertion;110;2998;3107
insertion;110;2907;3016
insertion;110;3195;3304
insertion;110;3130;3239
insertion;110;2875;2984
insertion;110;3121;3230
insertion;110;3057;3166
insertion;110;3090;3199
insertion;110;3024;3133
insertion;110;2921;3030
insertion;110;3433;3542
insertion;110;2821;2930
insertion;110;3051;3160
insertion;110;2855;2964
insertion;110;2986;3095
insertion;110;2955;3064
insertion;110;3092;3201
insertion;110;3021;3130
insertion;110;2983;3092
insertion;110;3071;3180
insertion;110;3061;3170
insertion;110;3192;3301
insertion;110;3164;3273
insertion;110;2998;3107
insertion;110;2830;2939
insertion;110;3222;3331
insertion;110;3240;3349
insertion;110;3118;3227
insertion;110;3290;3399
insertion;110;2826;2935
insertion;110;2778;2887
insertion;110;3513;3622
insertion;110;2883;2992
insertion;110;2700;2809
insertion;110;2936;3045
insertion;110;3037;3146
insertion;110;3064;3173
insertion;110;2894;3003
insertion;110;3076;3185
insertion;110;2719;2828
insertion;110;2756;2865
insertion;110;2912;3021
insertion;110;2923;3032
insertion;110;2680;2789
insertion;110;2436;2545
insertion;110;3321;3430
insertion;110;2973;3082
insertion;110;3130;3239
insertion;110;3209;3318
insertion;110;3158;3267
insertion;110;2744;2853
insertion;110;3234;3343
insertion;120;3650;3769
insertion;120;3371;3490
insertion;120;3295;3414
insertion;120;3757;3876
insertion;120;3980;4099
insertion;120;4070;4189
insertion;120;3871;3990
insertion;120;3689;3808
insertion;120;3519;3638
insertion;120;3397;3516
insertion;120;3822;3941
insertion;120;3934;4053
insertion;120;3434;3553
insertion;120;3301;3420
insertion;120;3824;3943
insertion;120;3606;3725
insertion;120;3440;3559
insertion;120;3459;3578
insertion;120;3555;3674
insertion;120;3728;3847
insertion;120;3411;3530
insertion;120;3405;3524
insertion;120;2935;3054
insertion;120;3550;3669
insertion;120;3832;3951
insertion;120;3485;3604
insertion;120;3480;3599
insertion;120;3379;3498
insertion;120;3524;3643
insertion;120;3542;3661
insertion;120;3533;3652
insertion;120;3077;3196
insertion;120;3516;3635
insertion;120;3805;3924
insertion;120;3759;3878
insertion;120;3306;3425
insertion;120;3459;3578
insertion;120;3356;3475
insertion;120;3971;4090
insertion;120;3411;3530
insertion;120;3534;3653
insertion;120;3682;3801
insertion;120;3214;3333
insertion;120;3378;3497
insertion;120;3374;3493
insertion;120;3298;3417
insertion;120;3619;3738
insertion;120;3504;3623
insertion;120;3705;3824
insertion;120;3279;3398
insertion;120;3643;3762
insertion;120;3744;3863
insertion;120;3086;3205
insertion;120;3711;3830
insertion;120;3546;3665
insertion;120;3604;3723
insertion;120;3456;3575
insertion;120;3077;3196
insertion;120;3553;3672
insertion;120;3437;3556
insertion;120;3791;3910
insertion;120;3497;3616
insertion;120;3277;3396
insertion;120;3794;3913
insertion;120;3550;3669
insertion;120;3673;3792
insertion;120;3462;3581
insertion;120;4047;4166
insertion;120;3581;3700
insertion;120;3585;3704
insertion;120;3742;3861
insertion;120;3459;3578
insertion;120;3247;3366
insertion;120;3447;3566
insertion;120;3556;3675
insertion;120;3682;3801
insertion;120;3496;3615
insertion;120;3758;3877
insertion;120;3887;4006
insertion;120;3324;3443
insertion;120;3637;3756
insertion;120;3913;4032
insertion;120;3647;3766
insertion;120;3478;3597
insertion;120;3467;3586
insertion;120;3556;3675
insertion;120;3639;3758
insertion;120;3270;3389
insertion;120;3669;3788
insertion;120;3318;3437
insertion;120;3151;3270
insertion;120;3346;3465
insertion;120;3051;3170
insertion;120;3808;3927
insertion;120;3495;3614
insertion;120;3412;3531
insertion;120;3763;3882
insertion;120;3411;3530
insertion;120;3895;4014
insertion;120;3226;3345
insertion;130;3979;4108
insertion;130;3760;3889
insertion;130;4363;4492
insertion;130;4342;4471
insertion;130;3958;4087
insertion;130;4356;4485
insertion;130;4398;4527
insertion;130;4469;4598
insertion;130;4354;4483
insertion;130;4393;4522
insertion;130;4753;4882
insertion;130;4087;4216
insertion;130;4102;4231
insertion;130;4284;4413
insertion;130;3796;3925
insertion;130;3797;3926
insertion;130;4026;4155
insertion;130;4377;4506
insertion;130;3964;4093
insertion;130;4178;4307
insertion;130;4041;4170
insertion;130;4547;4676
insertion;130;4618;4747
insertion;130;3874;4003
insertion;130;4259;4388
insertion;130;4086;4215
insertion;130;4639;4768
insertion;130;4278;4407
insertion;130;4505;4634
insertion;130;4103;4232
insertion;130;4195;4324
insertion;130;4523;4652
insertion;130;4004;4133
insertion;130;4295;4424
insertion;130;4438;4567
insertion;130;4398;4527
insertion;130;4342;4471
insertion;130;4137;4266
insertion;130;4625;4754
insertion;130;4233;4362
insertion;130;4156;4285
insertion;130;4592;4721
insertion;130;4631;4760
insertion;130;4037;4166
insertion;130;4453;4582
insertion;130;4377;4506
insertion;130;4210;4339
insertion;130;4240;4369
insertion;130;4303;4432
insertion;130;4296;4425
insertion;130;4222;4351
insertion;130;4283;4412
insertion;130;4148;4277
insertion;130;4000;4129
insertion;130;4091;4220
insertion;130;3936;4065
insertion;130;4157;4286
insertion;130;4420;4549
insertion;130;4430;4559
insertion;130;4583;4712
